xtb_force,mace_r0_force,mace_r1_force
-0.0111357,8.0908336e-05,-3.5207097e-05
0.03595037,0.03630656,0.038212653
0.01083767,0.00963023,0.010154971
0.01926429,0.02455225,0.024527078
0.01258381,0.013269682,0.014522155
0.00434708,0.0035389985,0.0038789697
-0.02314418,-0.025531465,-0.025968492
-0.05205688,-0.051668584,-0.05009739
-0.01344927,-0.014015474,-0.013581949
-0.02182767,-0.026043644,-0.026535267
0.05348946,0.05179162,0.050196823
0.01300608,0.014566812,0.014206871
0.01947579,0.025383487,0.02511306
-0.00708005,-0.012298256,-0.013270299
-0.00611769,-0.0034836654,-0.004808282
-0.01116992,0.0027714528,0.0027200023
-0.02966104,-0.036027145,-0.037570264
-0.01266044,-0.012445289,-0.013448129
-0.00252718,0.0007383586,0.00091449154
0.02673761,0.028553357,0.030301338
0.00855143,0.00756035,0.008038511
-0.30044469,-0.29970017,-0.30063078
-0.36277531,-0.356707,-0.36182603
-0.10828339,-0.09548214,-0.0968233
-0.35914652,-0.3657403,-0.36618102
0.36219496,0.35959914,0.3646845
0.07775014,0.09715152,0.09758938
0.1248384,0.13499978,0.1359509
0.3166351,0.29765916,0.30589673
0.07038053,0.06944596,0.07283661
0.13604875,0.13647093,0.13278471
0.47356367,0.47529697,0.47745764
0.10798482,0.1276261,0.12742336
0.10815398,0.11300915,0.11501942
0.50243698,0.49191394,0.49838743
0.12197417,0.1249366,0.1268736
-0.52896288,-0.51829845,-0.5262002
0.6281543,0.62288,0.6237269
0.15884642,0.16710122,0.16683133
-0.52538423,-0.51690847,-0.5250348
-0.63189749,-0.6233573,-0.62420887
-0.17490622,-0.16701372,-0.16720347
0.10555702,0.10869142,0.11128059
-0.50061156,-0.49374866,-0.4999123
-0.13832375,-0.13238837,-0.1340117
0.14313821,0.14287691,0.13911624
-0.47846134,-0.47544217,-0.47767803
-0.13918411,-0.12735012,-0.12795399
0.11109461,0.121920854,0.123565726
-0.31856604,-0.30336478,-0.31156275
-0.09001181,-0.08146872,-0.08359452
0.0092611,0.0016127937,0.0015949687
0.03872559,0.040048778,0.04166335
0.01159865,0.010634872,0.011081225
-0.01853287,-0.024822796,-0.024803212
